location,year,month,weight_range_high
"Blakely, GA",2008,8,523.6842105263158
"Blakely, GA",2008,9,578.5714285714286
"Blakely, GA",2008,10,550.0
"Blakely, GA",2008,11,495.8333333333333
"Blakely, GA",2009,2,545.6521739130435
"Blakely, GA",2009,3,628.5714285714286
"Calhoun, GA",2002,8,491.6666666666667
"Calhoun, GA",2002,9,519.047619047619
"Calhoun, GA",2002,10,510.5263157894737
"Calhoun, GA",2002,12,500.0
"Calhoun, GA",2004,1,474.35897435897436
"Calhoun, GA",2004,2,451.6666666666667
"Calhoun, GA",2004,3,496.15384615384613
"Calhoun, GA",2004,4,479.3103448275862
"Calhoun, GA",2004,5,474.2857142857143
"Calhoun, GA",2004,6,491.86046511627904
"Calhoun, GA",2004,7,485.1063829787234
"Calhoun, GA",2004,8,493.1506849315069
"Calhoun, GA",2004,9,494.2528735632184
"Calhoun, GA",2004,10,510.752688172043
"Calhoun, GA",2004,11,515.7407407407408
"Calhoun, GA",2004,12,500.0
"Calhoun, GA",2005,1,498.9247311827957
"Calhoun, GA",2005,2,482.53968253968253
"Calhoun, GA",2005,3,479.25531914893617
"Calhoun, GA",2005,4,474.21875
"Calhoun, GA",2005,5,510.4651162790698
"Calhoun, GA",2005,6,505.28846153846155
"Calhoun, GA",2005,7,511.2903225806452
"Calhoun, GA",2005,8,518.5393258426966
"Calhoun, GA",2005,9,517.032967032967
"Calhoun, GA",2005,10,521.978021978022
"Calhoun, GA",2005,11,502.20588235294116
"Calhoun, GA",2005,12,506.8181818181818
"Calhoun, GA",2006,1,497.75280898876406
"Calhoun, GA",2006,2,491.6666666666667
"Calhoun, GA",2006,3,494.55445544554453
"Calhoun, GA",2006,4,478.57142857142856
"Calhoun, GA",2006,5,477.8481012658228
"Calhoun, GA",2006,6,483.8095238095238
"Calhoun, GA",2006,7,495.5223880597015
"Calhoun, GA",2006,8,492.9824561403509
"Calhoun, GA",2006,9,501.14942528735634
"Calhoun, GA",2006,10,503.7037037037037
"Calhoun, GA",2006,11,503.20512820512823
"Calhoun, GA",2006,12,507.6923076923077
"Calhoun, GA",2007,1,507.9268292682927
"Calhoun, GA",2007,2,500.64935064935065
"Calhoun, GA",2007,3,510.55045871559633
"Calhoun, GA",2007,4,483.52941176470586
"Calhoun, GA",2007,5,506.4102564102564
"Calhoun, GA",2007,6,502.6595744680851
"Calhoun, GA",2007,7,478.2608695652174
"Calhoun, GA",2007,8,499.5145631067961
"Calhoun, GA",2007,9,528.3132530120482
"Calhoun, GA",2007,10,523.4939759036145
"Calhoun, GA",2007,11,498.7654320987654
"Calhoun, GA",2007,12,527.5862068965517
"Calhoun, GA",2008,1,492.26190476190476
"Calhoun, GA",2008,2,517.9487179487179
"Calhoun, GA",2008,3,517.9487179487179
"Calhoun, GA",2008,4,492.56756756756755
"Calhoun, GA",2008,5,503.2110091743119
"Calhoun, GA",2008,6,534.8684210526316
"Calhoun, GA",2008,7,520.5882352941177
"Calhoun, GA",2008,8,519.277108433735
"Calhoun, GA",2008,9,512.9629629629629
"Calhoun, GA",2008,10,521.559633027523
"Calhoun, GA",2008,11,532.8125
"Calhoun, GA",2008,12,533.9622641509434
